date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:24:00	828579/828579	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:23:57%20GMT	https://www.classcentral.com/subject/disease-and-disorders	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/disease-and-disorders.html	(from https://www.classcentral.com/)
03:24:06	773309/773309	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:01%20GMT	https://www.classcentral.com/subject/public-health	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/public-health.html	(from https://www.classcentral.com/)
03:24:10	791568/791568	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:06%20GMT	https://www.classcentral.com/subject/health-care	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/health-care.html	(from https://www.classcentral.com/)
03:24:11	176604/176604	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2020:04:39%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
03:24:17	765031/765031	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:12%20GMT	https://www.classcentral.com/subject/nursing	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/nursing.html	(from https://www.classcentral.com/)
03:24:22	752777/752777	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:18%20GMT	https://www.classcentral.com/subject/anatomy	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/anatomy.html	(from https://www.classcentral.com/)
03:24:27	742574/742574	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:23%20GMT	https://www.classcentral.com/subject/veterinary-science	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/veterinary-science.html	(from https://www.classcentral.com/)
03:24:31	714379/714379	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:28%20GMT	https://www.classcentral.com/subject/cme	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/cme.html	(from https://www.classcentral.com/)
03:24:32	178502/178502	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2023:05:47%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
03:24:37	792050/792050	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:33%20GMT	https://www.classcentral.com/subject/statistics	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/statistics.html	(from https://www.classcentral.com/)
03:24:42	754840/754840	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:38%20GMT	https://www.classcentral.com/subject/foundations-of-mathematics	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/foundations-of-mathematics.html	(from https://www.classcentral.com/)
03:24:47	763752/763752	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:43%20GMT	https://www.classcentral.com/subject/calculus	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/calculus.html	(from https://www.classcentral.com/)
03:24:53	744855/744855	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:48%20GMT	https://www.classcentral.com/subject/discrete-mathematics	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/discrete-mathematics.html	(from https://www.classcentral.com/)
03:24:58	752077/752077	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:53%20GMT	https://www.classcentral.com/subject/trigonometry	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/trigonometry.html	(from https://www.classcentral.com/)
03:25:03	752648/752648	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:24:59%20GMT	https://www.classcentral.com/subject/geometry	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/geometry.html	(from https://www.classcentral.com/)
03:25:08	764191/764191	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:04%20GMT	https://www.classcentral.com/subject/algebra	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/algebra.html	(from https://www.classcentral.com/)
03:25:13	747734/747734	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:09%20GMT	https://www.classcentral.com/subject/precalculus	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/precalculus.html	(from https://www.classcentral.com/)
03:25:14	512664/512664	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2001:04:51%20GMT	https://www.classcentral.com/report/coursera-free-online-courses/	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/report/coursera-free-online-courses/index.html	(from https://www.classcentral.com/)
03:25:19	721303/721303	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:15%20GMT	https://www.classcentral.com/subject/number-theory	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/number-theory.html	(from https://www.classcentral.com/)
03:25:25	729187/729187	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:20%20GMT	https://www.classcentral.com/subject/combinatorics	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/combinatorics.html	(from https://www.classcentral.com/)
